,QID,label,description,instance of
130,Q11668,Nikki Haley,American politician and diplomat (born 1972),human
131,Q36844,Rihanna,Barbadian singer,human
132,Q358755,Mount Takahe,shield volcano in Antarctica,mountain
133,Q15897,Amy Winehouse,British singer-songwriter (1983–2011),human
134,Q408,Australia,country in Oceania,Commonwealth realm
135,Q9659,A/a,1st letter of the basic Latin alphabet,Latin-script letter
136,Q31271369,Fast X,2023 film directed by Louis Leterrier,film
137,Q29564107,Billie Eilish,American singer-songwriter (born 2001),human
138,Q9673,Lewis Hamilton,British racing driver,human
139,Q35332,Brad Pitt,American actor and filmmaker (born 1963),human
140,Q25714026,Jake Paul,American YouTuber and boxer (born 1997),human
141,Q907311,Netflix,American subscription video on-demand over-the-top streaming service,mobile app
142,Q106481,Alan Rickman,British actor and director (1946–2016),human
143,Q81328,Harrison Ford,American actor (born 1942),human
144,Q147077,Emma Stone,American actress and producer,human
145,Q80322358,John Wick: Chapter 4,2023 film directed by Chad Stahelski,film
146,Q9696,John F. Kennedy,president of the United States from 1961 to 1963 (1917–1963),human
147,Q66241169,Jude Bellingham,English association football player (born 2003),human
148,Q146,cat,small domesticated carnivorous mammal,organisms known by a particular common name
149,Q34389,Whitney Houston,"American singer, actress, and film producer (1963–2012)",human
150,Q72930269,House of the Dragon,American fantasy drama television series,prequel
